,start_time,end_time,duration,start_latitude,start_longitude,end_latitude,end_longitude,driving_distance,start_year,end_year,year,start_month,end_month,month,start_day,end_day,day,start_hour,end_hour,start_weekday,end_weekday,start_daytype,end_daytype,geometry,date,daytype,city,euclidean_distance,hour,random_seconds_start,random_seconds_end,random_seconds_pos,ia_timeout,avg_speed,avg_speed_kmh,origin_id,destination_id,origin_i,origin_j,destination_i,destination_j
22,2019-02-01 02:41:30.499451-05:00,2019-02-01 03:06:57.732985-05:00,1527.233534,38.215,-85.757,38.218,-85.763,402.25,2019,2019,2019,2,2,2,1,1,1,7,8,Fri,Fri,weekday,weekday,"LINESTRING (-85.75700000000001 38.215, -85.76300000000001 38.218)",2019-02-01,weekday,Louisville,621.3247816741548,7,-209.5005493811268,417.7329848908778,3.904643532082819,397.434435,0.2633847352385336,0.9481850468587211,75.0,62.0,11.0,4.0,14.0,3.0
18,2019-02-01 02:42:43.511062-05:00,2019-02-01 03:00:03.291450-05:00,1039.780388,38.227,-85.755,38.216,-85.708,5438.42,2019,2019,2019,2,2,2,1,1,1,7,8,Fri,Fri,weekday,weekday,"LINESTRING (-85.755 38.227, -85.708 38.216)",2019-02-01,weekday,Louisville,4284.12086066358,7,763.5110624558665,3.291450462871353,445.7980555094343,34.21664,5.230354469813293,18.829276091327856,83.0,85.0,3.0,5.0,5.0,5.0
29,2019-02-01 02:48:30.652603-05:00,2019-02-01 02:54:13.515975-05:00,342.863372,38.218,-85.763,38.216,-85.758,96.54,2019,2019,2019,2,2,2,1,1,1,8,8,Fri,Fri,weekday,weekday,"LINESTRING (-85.76300000000001 38.218, -85.758 38.216)",2019-02-01,weekday,Louisville,490.1674448338307,8,-689.3473966996272,-346.4840253280332,346.14861870354906,235.569979,0.2815698843444846,1.0136515836401445,71.0,69.0,7.0,4.0,5.0,4.0
21,2019-02-01 02:49:42.875517-05:00,2019-02-01 02:57:00.392466-05:00,437.516949,38.22,-85.765,38.213,-85.761,1206.75,2019,2019,2019,2,2,2,1,1,1,7,8,Fri,Fri,weekday,weekday,"LINESTRING (-85.765 38.22, -85.761 38.213)",2019-02-01,weekday,Louisville,853.2112007304326,7,282.8755169760659,-894.731714737479,437.51694862515717,72.222914,2.7581788608605424,9.929443899097953,199.0,199.0,7.0,12.0,7.0,12.0
20,2019-02-01 02:50:08.145265-05:00,2019-02-01 02:58:41.815531-05:00,513.670266,38.213,-85.751,38.215,-85.758,820.59,2019,2019,2019,2,2,2,1,1,1,7,7,Fri,Fri,weekday,weekday,"LINESTRING (-85.751 38.213, -85.758 38.215)",2019-02-01,weekday,Louisville,650.7453901478393,7,308.1452648396546,821.815530876009,214.3890858548854,25.269748,1.5975034069813183,5.751012265132746,199.0,199.0,7.0,12.0,7.0,12.0
27,2019-02-01 02:55:57.530166-05:00,2019-02-01 03:04:20.924087-05:00,503.393921,38.211,-85.763,38.222,-85.766,2252.6,2019,2019,2019,2,2,2,1,1,1,8,8,Fri,Fri,weekday,weekday,"LINESTRING (-85.76300000000001 38.211, -85.76600000000001 38.222)",2019-02-01,weekday,Louisville,1250.9089240550002,8,-242.46983441077896,-639.0759127886773,61.258696397363806,349.384901,4.474825590911337,16.109372127280814,153.0,107.0,9.0,9.0,11.0,6.0
30,2019-02-01 03:00:41.454396-05:00,2019-02-01 03:12:46.455324-05:00,725.000928,38.213,-85.756,38.213,-85.752,595.33,2019,2019,2019,2,2,2,1,1,1,8,8,Fri,Fri,weekday,weekday,"LINESTRING (-85.756 38.213, -85.752 38.213)",2019-02-01,weekday,Louisville,349.4707812223244,8,41.454395558781926,-133.5446758272351,210.98356650502637,281.323534,0.821143776522173,2.9561175954798227,70.0,83.0,6.0,4.0,3.0,5.0
33,2019-02-01 03:08:37.119572-05:00,2019-02-01 03:41:13.241219-05:00,1956.121647,38.216,-85.759,38.217,-85.755,595.33,2019,2019,2019,2,2,2,1,1,1,8,8,Fri,Fri,weekday,weekday,"LINESTRING (-85.759 38.216, -85.755 38.217)",2019-02-01,weekday,Louisville,366.71840876310864,8,-382.88042833348425,673.2412192187978,112.63764660346551,359.088152,0.3043420131427031,1.095631247313731,75.0,74.0,11.0,4.0,10.0,4.0
34,2019-02-01 03:11:42.203232-05:00,2019-02-01 03:30:12.248528-05:00,1110.045296,38.218,-85.758,38.221,-85.756,547.0600000000001,2019,2019,2019,2,2,2,1,1,1,8,8,Fri,Fri,weekday,weekday,"LINESTRING (-85.758 38.218, -85.756 38.221)",2019-02-01,weekday,Louisville,376.5711193700984,8,-197.7967679276071,12.248527502749198,212.5832615175565,185.08366,0.49282673596411514,1.7741762494708144,74.0,58.0,10.0,4.0,10.0,3.0
26,2019-02-01 03:11:56.271554-05:00,2019-02-01 03:17:27.820076-05:00,331.548522,38.218,-85.763,38.213,-85.761,418.34,2019,2019,2019,2,2,2,1,1,1,8,8,Fri,Fri,weekday,weekday,"LINESTRING (-85.76300000000001 38.218, -85.761 38.213)",2019-02-01,weekday,Louisville,582.7848245657239,8,716.2715536090327,-777.8144446009436,331.5485223186906,14.068322,1.2617760968332714,4.542393948599777,89.0,104.0,9.0,5.0,8.0,6.0
