,zone_id,year,month,day,hour,in_flow_count
9788,76,2019,2,15,9,3
9789,76,2019,2,15,10,3
9790,76,2019,2,15,11,1
9791,76,2019,2,15,12,2
9792,77,2019,2,15,8,1
9793,77,2019,2,15,9,1
9794,77,2019,2,15,11,1
9795,77,2019,2,15,12,1
9796,78,2019,2,15,9,2
9797,78,2019,2,15,10,1
9798,78,2019,2,15,12,1
9799,78,2019,2,15,14,1
9800,78,2019,2,15,17,1
9801,78,2019,2,15,21,1
9802,78,2019,2,15,22,1
9803,82,2019,2,15,0,4
9804,82,2019,2,15,4,1
9805,82,2019,2,15,5,2
9806,82,2019,2,15,12,1
9807,82,2019,2,15,13,2
9808,82,2019,2,15,15,1
9809,82,2019,2,15,18,2
9810,82,2019,2,15,21,2
9811,83,2019,2,15,0,1
9812,83,2019,2,15,2,1
9813,83,2019,2,15,6,1
9814,83,2019,2,15,9,1
9815,83,2019,2,15,13,1
9816,83,2019,2,15,15,2
9817,83,2019,2,15,17,1
9818,83,2019,2,15,18,5
9819,83,2019,2,15,20,3
9820,83,2019,2,15,21,2
9821,84,2019,2,15,2,1
9822,84,2019,2,15,11,1
9823,84,2019,2,15,19,2
9824,84,2019,2,15,20,1
9825,84,2019,2,15,23,1
